"airport","airport_name","countryCode","date","datetime","raw_metar","visibility","wind","precipitation","freezing","dangerous","VMC_IMC","latitude","longitude"
"EGUO","COLERNE","GBR","19-02-14","""2019-02-14T22:50:00.000Z""","EGUO 142250Z 06001KT CAVOK 01/00 Q1029 BLU NOSIG 19-02-14",0,0,0,2.5,0,0,51.44107777777777,-2.2790805555555553
"KEUF","WEEDON FIELD","USA","19-03-04","""2019-03-04T18:58:00.000Z""","KEUF 041858Z AUTO A3010 RMK AO2 RAEMM TSB02B32 SLPNO PWINO FZRANO TSNO $ 19-03-04",0,0,0,0,0,0,31.951305555555553,-85.12891666666665
"LLET","EILAT/J. HOZMAN AIRPORT","ISR","19-03-18","""2019-03-18T15:50:00.000Z""","LLET 181550Z 02016KT CAVOK 24/M01 Q1016 19-03-18",0,2,0,0,0,0,29.558333333333334,34.95888888888889
"KLBT","LUMBERTON RGNL","USA","19-03-28","""2019-03-28T13:55:00.000Z""","KLBT 281355Z MKT MSM M M M M A0000 M M RMK TEST 19-03-28",0,0,0,0,0,0,34.60980555555556,-79.05955555555555
"EDOP","SCHWERIN-PARCHIM","DEU","19-03-31","""2019-03-31T14:50:00.000Z""","EDOP 311450Z 35010KT 310V020 CAVOK 09/M06 Q1025 19-03-31",0,0,0,0,0,0,53.42699722222222,11.783436111111111
"EGDX","ST ATHAN","GBR","19-04-01","""2019-04-01T12:50:00.000Z""","EGDX 011250Z AUTO 10008KT 9999 NCD 11/05 Q1019 19-04-01",0,0,0,0,0,0,51.40475277777777,-3.435752777777778
"HLLM","TRIPOLI (MITIGA INTL)","LBY","19-04-04","""2019-04-04T11:50:00.000Z""","HLLM 041150Z 20008KT 8000 BKN080 29/07 Q1005 19-04-04",0,0,0,0,0,0,32.894444444444446,13.277777777777779
"SVCU","CUMANA, SUCRE","VEN","19-06-24","""2019-06-24T18:04:00.000Z""","SVCU 241804Z 10025KT 9999 CB/NE 19-06-24",0,4,0,0,0,0,10.449166666666667,-64.13222222222221
"LLSD","TEL-AVIV/SDE-DOV AIRPORT","ISR","19-06-30","""2019-06-30T20:50:00.000Z""","LLSD 302050Z VRB03KT 9999 SCT017 27/23 Q1007 19-06-30",0,0,0,0,0,0,32.11416666666667,34.78194444444444
"LHUD","SZEGED","HUN","19-07-03","""2019-07-03T22:45:00.000Z""","LHUD 032245Z 33007KT CAVOK 19/14 Q1018 19-07-03",0,0,0,0,0,0,46.25083333333333,20.089166666666664
"SBQV","VITORIA DA CONQUISTA/VITORIA DA CONQUISTA,BA","BRA","19-07-24","""2019-07-24T23:00:00.000Z""","SBQV 242300Z 15009KT 9999 SCT006 17/16 Q1023 19-07-24",0,0,0,0,0,0,-14.86361111111111,-40.863055555555555
"SVPM","PARAMILLO, TACHIRA","VEN","19-08-01","null","SVPM 011000ZZ NIL 19-08-01",0,0,0,0,0,0,7.804722222222222,-72.20055555555555
"PAKF","FALSE PASS","USA","19-08-01","""2019-08-01T20:11:00.000Z""","PAKF 012011Z 01003KT 9SM OVC016 13/11 A3013 RMK NOSPECI 19-08-01",0,0,0,0,0,0,54.847861111111115,-163.4071111111111
"UWSS","SARATOV/TSENTRALNY","RUS","19-08-20","""2019-08-20T03:00:00.000Z""","UWSS 200300Z 33003MPS CAVOK 20/15 Q1018 R30/010095 NOSIG RMK QFE750 19-08-20",0,0,0,0,0,0,51.565555555555555,46.04555555555555
"LIMT","PASSO DELLA CISA","ITA","19-09-23","""2019-09-23T11:55:00.000Z""","LIMT 231155Z 00000KT 0000 FG VV/// 10/10 Q1014 RMK MON INVIS VAL INVIS VIS MIN 0000 19-09-23",0,0,0,0,0,0,44.4333333,9.9333333
"SBUG","URUGUAIANA/RUBEM BERTA, RS","BRA","19-09-23","""2019-09-23T13:00:00.000Z""","SBUG 231300Z 08015KT CAVOK 16/05 Q1025 19-09-23",0,0,0,0,0,0,-29.783333333333335,-57.036944444444444
"PANT","ANNETTE ISLAND","USA","19-10-01","""2019-10-01T12:53:00.000Z""","PANT 011253Z AUTO 14010KT 10SM OVC055 12/05 A3001 RMK SLP162 T01170050 TSNO VIA AUTODIAL 19-10-01",0,0,0,0,0,0,55.042291666666664,-131.57089722222221
"SPZA","NASCA/MARIA REICHE NEUMAN","PER","19-10-10","""2019-10-10T13:18:00.000Z""","SPZA 101318Z VRB01KT 8000 SCT020 14/10 Q1015 19-10-10",0,0,0,0,0,0,-14.854138888888889,-74.96177222222222
"KISN","SLOULIN FLD INTL","USA","19-10-18","""2019-10-18T12:52:00.000Z""","KISN 181252Z AUTO 28012KT 10SM FEW120 08/01 A2948 RMK AO2 SLP836 T00780006 TSNO 19-10-18",0,0,0,0,0,0,48.17793888888889,-103.64234722222223
"PAEM","EMMONAK","USA","19-10-22","""2019-10-22T01:52:00.000Z""","PAEM 220152Z 02007KT 10SM OVC044 02/00 A2959 19-10-22",0,0,0,2.5,0,0,62.786138888888885,-164.49075
"SVJC","JOSEFA CAMEJO, FALCON","VEN","19-10-22","""2019-10-22T22:00:00.000Z""","SVJC 222200Z 2300/2400 09014KT 9999 FEW013 TX32/19Z TN25/08Z TEMPO 2300/2304 06015G18KT 9999 SCT013 SCT090 19-10-22",0,2,0,0,0,0,11.780555555555557,-70.15166666666667
